"	brewery names	business type	address	city	zip	lat	long	yelp rating	number of yelp reviews",
"42	Ambitious Ales	Breweries	4019 Atlantic Ave	Long Beach	90807	33.8312212708405	-118.185276762542	5.0	71",
"43	Amplified Ale Works	Breweries	4150 Mission Blvd	San Diego	92109	32.7911417226722	-117.254326022115	4.0	861",
"44	Pure Project	Breweries	9030 Kenamar Dr	San Diego	92121	32.8873375	-117.1555986	4.5	630",
"45	Anacapa Brewing	Pubs	472 E Main St	Ventura	93001	34.28076271003	-119.293606269968	4.0	461",
"46	Anaheim Brewery	Breweries	336 S Anaheim Blvd	Anaheim	92805	33.83262	-117.9125	4.0	299",
"47	Anchor Brewing Company	Breweries	1705 Mariposa St	San Francisco	94107	37.76311	-122.40095	5.0	690",
"48	Anderson Valley Brewing Company	Breweries	17700 Hwy 253	Boonville	95415	39.001377	-123.356019	4.0	228",
"49	Angel City Brewery	Breweries	216 Alameda St	Los Angeles	90012	34.0465361	-118.2378194	4.0	1747",
"50	Angry Horse Brewing	Breweries	603 W Whittier Blvd	Montebello	90640	34.0095721	-118.1063421	4.0	117",
"51	Anchor Brewing Company	Breweries	1705 Mariposa St	San Francisco	94107	37.76311	-122.40095	5.0	690",
"52	Golden Road Brewing	Breweries	5410 W San Fernando Rd	Los Angeles	90039	34.15064	-118.274453	4.0	2296",
"53	Arcana Brewing Company	Breweries	5621 Palmer Way	Carlsbad	92010	33.1401340721854	-117.273890042186	4.5	94",
"54	Centro	Breweries	140 E Main St	Tustin	92780	33.7419509	-117.8231295	4.5	419",
"55	Armistice Brewing Company	Breweries	845 Marina Bay Pkwy	Richmond	94804	37.9194417903228	-122.348262050401	4.5	102",
"56	Armstrong Brewing	Breweries	415 Grand Ave	South San Francisco	94080	37.6557881227935	-122.413363021999	4.5	134",
"57	Arrow Lodge Brewing	Breweries	720 E Arrow Hwy	Covina	91722	34.1050635701011	-117.876500772228	4.0	153",
"58	Artifex Brewing Company	Breweries	919 Calle Amanecer	San Clemente	92673	33.448949	-117.6059392	4.5	134",
"59	Arts District Brewing Company	American (New)	828 Traction Ave	Los Angeles	90013	34.0446217616778	-118.235323801466	4.0	918",
"60	Asian Brothers Brewing Company	Breweries	4800 Florin Rd	Sacramento	95823	38.49552	-121.4492	4.0	17",
"61	Asylum Brewing	Breweries	2970 E La Palma Ave	Anaheim	92806	33.84935	-117.86094	4.0	60",
"62	At Ease Brewing	Breweries	1825 I St	Sacramento	95811	38.57853	-121.48095	5.0	16",
"63	Attitude Brewing Company	Wraps	1985 National Ave	San Diego	92113	32.7004763960453	-117.145065662274	4.5	103",
"64	Auburn Alehouse	Pubs	289 Washington St	Auburn	95603	38.8954662667246	-121.07839892796	4.0	1058",
"65	Blind Lady Ale House	Pizza	3416 Adams Ave	San Diego	92116	32.7634800174059	-117.120310109337	4.0	1310",
"66	Aztec Brewery	Breweries	2330 La Mirada Dr	Vista	92081	33.15014	-117.2298	4.0	133",
"67	Babe's Bar-B-Que & Brewhouse	Barbeque	71800 Hwy 111	Rancho Mirage	92270	33.740762949942	-116.411184867877	3.5	1086",
"68	Backstreet Brewery	Breweries	1884 S Santa Cruz St	Anaheim	92805	33.8006007	-117.8959266	4.5	186",
"69	Bagby Beer Company	Breweries	601 S Coast Hwy	Oceanside	92054	33.18923	-117.37426	4.0	1110",
"70	Home Brew Mart - Ballast Point	Breweries	5401 Linda Vista Rd	San Diego	92110	32.7667841646776	-117.195239067078	4.0	447",
"71	Ballast Point Miramar	American (New)	9045 Carroll Way	San Diego	92121	32.88807	-117.15811	4.0	1834",
"72	Ballast Point Miramar	American (New)	9045 Carroll Way	San Diego	92121	32.88807	-117.15811	4.0	1834",
"73	Ballast Point Long Beach	Breweries	110 N Marina Dr	Long Beach	90803	33.7459142756768	-118.11454537069	3.5	2212",
"74	Ballast Point Anaheim	Breweries	1540 S Disneyland Dr	Anaheim	92802	33.8086987	-117.9238651	3.0	359",
"75	Ballast Point Little Italy	Breweries	2215 India St	San Diego	92101	32.7275213525988	-117.169813710335	4.5	1765",
"76	Standard Deviant Brewing	Breweries	280 14th St	San Francisco	94103	37.76849	-122.41949	4.5	128",
"77	Bang The Drum Brewery	Breweries	950 Orcutt Rd	San Luis Obispo	93401	35.2615061118719	-120.645814444223	4.0	116",
"78	Barebottle Brewing Company	Breweries	1525 Cortland Ave	San Francisco	94110	37.7400856018066	-122.409004211426	4.5	360",
"79	Barley Forge Brewing	Breweries	2957 Randolph Ave	Costa Mesa	92626	33.67878	-117.88822	4.5	714",
"80	BarmHaus Brewing	Breweries	3782 Winding Creek Ln	Garden Valley	95633	38.84013	-120.87859	4.5	5",
"81	Barn Brewery	Bars	2850 El Cajon Blvd	San Diego	92104	32.7555700512994	-117.132338401943	4.0	174",
"82	Belching Beaver Pub980	Breweries	980 Park Center Dr	Vista	92081	33.1449653992113	-117.22874231176	4.5	423",
"83	Barrel Head Brewhouse	Breweries	1785 Fulton St	San Francisco	94117	37.7757521780078	-122.446032238623	4.0	515",
"84	BarrelHouse Brewing Co	Breweries	3055 Limestone Way	Paso Robles	93446	35.5761140843024	-120.691105030689	4.5	324",
"85	Bartlett Hall	Breweries	242 O'Farrell St	San Francisco	94102	37.7863779183055	-122.408723160625	3.5	810",
"86	BattleMage Brewing Company	Breweries	2870 Scott St	Vista	92081	33.1401786804199	-117.227615356445	5.0	92",
"87	Bay Bridge Brewing	Breweries	688 Marsat Ct	Chula Vista	91911	32.6009521	-117.082695	4.5	54",
"88	Bay City Brewing Company	Breweries	3760 Hancock St	San Diego	92110	32.7582184091936	-117.211758757697	4.5	128",
"89	Park Chalet Coastal Beer Garden	Breweries	1000 Great Hwy	San Francisco	94121	37.7694983928195	-122.510200712828	3.0	1296",
"90	Beach Grease Beer Company	Breweries	1280 Activity Dr	Vista	92081	33.14185	-117.2194	4.5	34",
"91	Beachwood Brewing & BBQ	Barbeque	210 E 3rd St	Long Beach	90802	33.770015590062	-118.19099726238	4.0	1409",
"92	Beachwood Blendery	Breweries	247 N Long Beach Blvd	Long Beach	90802	33.77025	-118.18975	4.5	79",
"93	Beachwood Brewing Taproom	Breweries	7631 Woodwind Dr	Huntington Beach	92647	33.7043188616381	-117.995439532022	4.5	55",
"94	Bite American Tapas	American (New)	907 Tahoe Blvd	Incline Village	89451	39.2492990511124	-119.951586720224	4.5	681",
"95	Bear Republic Brewing Co.	Pubs	5000 Roberts Lake Rd	Rohnert Park	94928	38.36472	-122.71017	3.5	370",
"96	Bear Republic Brewing	Brewpubs	345 Healdsburg Ave	Healdsburg	95448	38.6113142	-122.8709947	3.5	971",
"97	Bear Republic Brewing Co.	Pubs	5000 Roberts Lake Rd	Rohnert Park	94928	38.36472	-122.71017	3.5	370",
"98	Bear Roots Brewing	Brewing Supplies	1213 S Santa Fe Ave	Vista	92083	33.18823	-117.22623	4.5	176",
"99	Dust Bowl Brewery Taproom	Breweries	3000 Fulkerth Rd	Turlock	95380	37.5067379121127	-120.882762559525	3.5	648",
"100	Belching Beaver Brewery - Oceanside	Breweries	1334 Rocky Point Dr	Oceanside	92056	33.212525189701	-117.291587032378	4.0	71",
